X,Y,Z,B0,Bx,By,Bz
5,35,-30,0.045645345,-0.045367971,0.004842656,0.001339189
10,35,-30,0.045643286,-0.045362441,0.004872367,0.001348559
15,35,-30,0.045642229,-0.045358356,0.004897952,0.001357429
0,40,-30,0.045625892,-0.045351646,0.004818536,0.001316044
-15,-40,-25,0.045631692,-0.045351934,0.004841557,0.001418701
-10,-40,-25,0.045633857,-0.045356589,0.004814504,0.001431553
-5,-40,-25,0.045635941,-0.045361033,0.004790166,0.00143879
0,-40,-25,0.045638127,-0.045364828,0.004772246,0.001448009
5,-40,-25,0.045638325,-0.045366004,0.004760629,0.001455613
10,-40,-25,0.045635651,-0.04536336,0.004757387,0.001464754
15,-40,-25,0.045631105,-0.045358735,0.00475295,0.001480682
-25,-35,-25,0.045634741,-0.045351745,0.004881532,0.00138547
-20,-35,-25,0.04563961,-0.045357362,0.004871903,0.001395813
-15,-35,-25,0.045643907,-0.045363607,0.004850737,0.001407015
-10,-35,-25,0.045647565,-0.045369782,0.004823954,0.00141862
-5,-35,-25,0.045650442,-0.045374962,0.004800654,0.001424575
0,-35,-25,0.045651525,-0.045377643,0.004782596,0.001434565
5,-35,-25,0.045651222,-0.045378438,0.004770005,0.00144171
10,-35,-25,0.045648133,-0.045375379,0.004766848,0.001450561
15,-35,-25,0.04564256,-0.045369866,0.004762054,0.001463349
20,-35,-25,0.045635723,-0.04536299,0.004756343,0.001481756
25,-35,-25,0.045628178,-0.045354644,0.004755755,0.001506545
-30,-30,-25,0.045625545,-0.04534307,0.004879375,0.001374052
-25,-30,-25,0.045637452,-0.045354465,0.004883838,0.001377565
-20,-30,-25,0.045646959,-0.04536496,0.004873397,0.001383957
-15,-30,-25,0.045654289,-0.045374088,0.004854362,0.001393358
-10,-30,-25,0.045660002,-0.045382072,0.004829776,0.001405895
-5,-30,-25,0.045663451,-0.04538781,0.00480675,0.001411615
0,-30,-25,0.045664972,-0.045390723,0.004790429,0.001422586
5,-30,-25,0.045663947,-0.045390685,0.004778494,0.001430974
10,-30,-25,0.045660085,-0.045386909,0.004774982,0.001439257
15,-30,-25,0.04565471,-0.045381585,0.004770863,0.001450255
20,-30,-25,0.045646693,-0.045373537,0.004766264,0.001464758
25,-30,-25,0.045638254,-0.045364457,0.004766321,0.001482733
30,-30,-25,0.045629262,-0.045354794,0.004765917,0.001502768
-35,-25,-25,0.045604591,-0.045323608,0.004866958,0.001364551
-30,-25,-25,0.045624381,-0.045342135,0.004880269,0.001363042
-25,-25,-25,0.045640124,-0.045357718,0.004882496,0.001363634
-20,-25,-25,0.045653302,-0.04537179,0.004873317,0.00136946
-15,-25,-25,0.045663215,-0.045383418,0.004855173,0.001379078
-10,-25,-25,0.045670339,-0.045392629,0.004832177,0.001392527
-5,-25,-25,0.045674741,-0.045399128,0.004810845,0.001398899
0,-25,-25,0.045676334,-0.0454019,0.00479611,0.001411498
5,-25,-25,0.045675019,-0.045401451,0.004785414,0.001419652
10,-25,-25,0.045671674,-0.04539814,0.004782448,0.001427898
15,-25,-25,0.045665144,-0.045391515,0.004779763,0.001438606
20,-25,-25,0.045657106,-0.045383341,0.004776815,0.001451104
25,-25,-25,0.045647136,-0.045372867,0.004776918,0.001464587
30,-25,-25,0.045636812,-0.045361989,0.0047776,0.001477534
35,-25,-25,0.045628303,-0.045352445,0.004779944,0.001499977
-35,-20,-25,0.045601974,-0.045321286,0.004867903,0.001350779
-30,-20,-25,0.045625277,-0.045343735,0.004877851,0.001348383
-25,-20,-25,0.045644239,-0.045362614,0.004879577,0.001348922
-20,-20,-25,0.045659706,-0.045378977,0.004870435,0.001355023
-15,-20,-25,0.045671545,-0.045392455,0.004852927,0.001365319
-10,-20,-25,0.045679543,-0.04540233,0.004831685,0.0013798
-5,-20,-25,0.045684943,-0.045409591,0.004812354,0.001387183
0,-20,-25,0.045686197,-0.04541187,0.004798837,0.001400643
5,-20,-25,0.045685468,-0.045411758,0.004790317,0.00140965
10,-20,-25,0.045681227,-0.045407229,0.004790153,0.001418607
15,-20,-25,0.045674782,-0.045400668,0.004787961,0.001428461
20,-20,-25,0.045665635,-0.045391254,0.004786531,0.001439923
25,-20,-25,0.045655126,-0.045380162,0.004788323,0.001450316
30,-20,-25,0.045643234,-0.04536783,0.00478959,0.001457594
35,-20,-25,0.045632359,-0.045355989,0.004793022,0.001474221
-40,-15,-25,0.045575676,-0.045296055,0.004857146,0.001348244
-35,-15,-25,0.04560386,-0.045323711,0.004866547,0.001337896
-30,-15,-25,0.045628602,-0.045347981,0.004873221,0.001334779
-25,-15,-25,0.04564903,-0.045368471,0.004873508,0.00133592
-20,-15,-25,0.045665394,-0.045385785,0.004863884,0.00134217
